Country,City,Latitude,Longitude,index_x,Temperature,Humidity,Cloudiness,Wind Speed (mph)
se,falun,60.6,15.633333,39414.0,64.83,77.0,94.0,415.79999999999995
ru,voznesenye,61.010599,35.478127,39006.0,68.65,52.0,40.0,192.0
ru,zapolyarnyy,67.483333,63.75,39189.0,58.8,64.0,89.0,1165.2
ru,deputatskiy,69.3,139.9,35687.0,61.14,47.0,100.0,724.8
ru,vidyayevo,68.883333,33.016667,38916.0,60.8,82.0,86.0,134.4
ru,zapolyarnyy,69.415408,30.813551,39190.0,55.4,93.0,91.0,550.2
ru,urengoy,65.966667,78.366667,38734.0,51.24,92.0,100.0,856.1999999999999
ru,verkhoyansk,67.544722,133.385,38898.0,73.4,59.0,97.0,366.6
ru,zasheyek,67.419523,32.536585,39203.0,67.73,65.0,76.0,370.2
ru,olenegorsk,68.140359,33.273705,37461.0,69.98,64.0,80.0,471.0
ru,naryan-mar,67.641793,53.043071,37153.0,61.7,57.0,0.0,393.0
ru,polyarnyy,69.198889,33.447778,37723.0,60.8,82.0,91.0,134.4
ru,loukhi,66.076158,33.047454,36859.0,72.63,53.0,52.0,308.4
no,terrak,65.083333,12.416667,26105.0,59.0,72.0,98.0,282.0
no,ornes,66.866667,13.7,25998.0,56.61,76.0,75.0,684.6
fi,kemijarvi,66.666667,27.416667,11242.0,61.81,79.0,95.0,502.19999999999993
no,loding,67.3,14.75,25947.0,57.42,76.0,75.0,684.6
fi,kuusamo,65.966667,29.183333,11255.0,66.2,72.0,90.0,483.00000000000006
no,kirkenes,69.725,30.051667,25906.0,55.4,93.0,83.0,550.2
ru,krasnoselkup,65.7,82.466667,36576.0,64.8,46.0,76.0,606.5999999999999
ru,khonuu,66.45,143.1,36308.0,66.49,50.0,100.0,338.4
ru,usinsk,65.950714,57.46847,38751.0,56.39,72.0,97.0,810.6
ru,skalistyy,69.255064,33.336161,38192.0,60.8,82.0,94.0,134.4
ru,afrikanda,67.442893,32.782792,35072.0,64.94,70.0,67.0,334.20000000000005
no,lodingen,68.407222,15.991944,25946.0,57.11,82.0,97.0,1650.6000000000001
no,finnsnes,69.233333,17.983333,25833.0,55.4,87.0,98.0,832.1999999999999
no,mo i rana,66.316667,14.166667,25971.0,55.89,87.0,75.0,134.4
ru,umba,66.687064,34.342915,38718.0,65.08,70.0,96.0,318.0
